primary_lang_by_rate	n_tokens	sum_greek_count	example_decoded_top5
cuc_Latn	15	25190	'ian' | 'con' | 'Jon' | 'Qu' | '�'
zpu_Latn	25	25154	"'," | 'sen' | 'ello' | 'hen' | 'rio'
ayr_Latn	38	24922	'ax' | '..."' | 'Voices' | 'tweets' | 'blogs'
fil_Latn	71	24897	'ating' | 'Face' | 'Skin' | 'aming' | 'Hair'
cmo_Latn	14	24842	'p' | 'rel' | 'rd' | '.*' | 'avid'
lmo_Latn	35	24664	'ter' | 'cc' | 'El' | 'Ambro' | 'part'
slv_Latn	50	24421	'vs' | 'osti' | 'rav' | 'stop' | 'akov'
nde_Latn	43	24396	'Studio' | 'Morgan' | 'erson' | 'hl' | 'uth'
hbs_Latn	42	24374	'.).\n' | 'Batman' | 'Harvard' | 'Nas' | 'Sp'
ven_Latn	21	24238	'ha' | 'v' | 'za' | 'hed' | 'Mus'
yml_Latn	26	24223	'ain' | 'Tom' | 'atum' | 'oney' | 'Fit'
fin_Latn	40	24138	'elle' | 'ille' | 'yst' | 'MTV' | 'Prost'
ncj_Latn	26	23912	'alt' | '�' | 'eman' | '[...]' | 'iu'
sms_Latn	27	23737	'st' | 'ml' | 'tt' | 'zz' | '.f'
tzm_Tfng	3	23646	'�' | '�' | '�'
gcf_Latn	37	23645	'Martin' | 'CT' | '?\n' | 'RSS' | 'Parkinson'
ltg_Latn	33	23561	'ys' | '.l' | 'Laura' | 'Lat' | '.jpg'
und_Xsux	7	23145	'Times' | 'Plus' | '�' | 'iform' | 'astic'
und_Thai	15	23061	'>' | '>\n' | '<' | 'EC' | 'Market'
nyu_Latn	31	22728	'ace' | 'Tik' | 'odi' | 'ense' | 'post'
hil_Latn	32	22714	'City' | '-up' | 'SA' | '-on' | 'ags'
nas_Latn	25	22657	'ko' | 'par' | 'eria' | 'anto' | 'pon'
ctd_Latn	27	22495	'Top' | '-in' | 'CR' | 'hem' | 'Ted'
rad_Latn	19	22389	'Bl' | 'Kh' | 'firstname' | 'ph' | 'Kle'
nyn_Latn	36	22158	'ire' | 'Floyd' | 'SM' | 'Jessica' | 'browser'
cab_Latn	29	22152	'He' | 'oun' | 'Fur' | 'Gay' | 'ube'
und_Tibt	7	21975	'�' | '*\n' | '��' | ')(' | '==='
qug_Latn	24	21829	'ish' | 'ca' | 'Pa' | 'Mand' | 'Luc'
por_Latn	54	21554	'Alzheimer' | 'com' | 'ador' | 'cer' | 'Ele'
poh_Latn	7	21411	'ik' | 'Re' | 're' | 'oral' | 'oric'
rmn_Latn	29	21325	'eto' | '~' | '{' | '~' | '}'
bba_Latn	11	21290	's' | 'Ad' | 'Win' | 'Dom' | 'win'
kez_Latn	19	21227	'l' | 'bal' | 'THE' | 'ppy' | 'Peter'
csb_Latn	44	21181	'sk' | '(…)' | 'sc' | 'owski' | 'SL'
xsi_Latn	13	20981	'Mar' | 'zi' | 'eta' | 'SI' | 'Kin'
und_Ethi	6	20912	'�' | 'Eth' | 'CG' | 'opic' | 'Games'
guw_Latn	23	20862	'ado' | 'Pod' | 'when' | 'AI' | 'ICEF'
arn_Latn	39	20821	'Fe' | 'iel' | 'yp' | 'chi' | 'iley'
kyc_Latn	26	20773	'ona' | 'ome' | 'amb' | 'amin' | 'ging'
kab_Latn	32	20712	'ella' | 'ef' | 'Slim' | 'ayer' | 'Ass'
klv_Latn	31	20663	'vi' | 'van' | 'Hus' | 'lev' | 'Ale'
ssw_Latn	38	20525	'HE' | 'Sim' | '".' | 'si' | 'LP'
djk_Latn	20	20513	'Be' | 'den' | 'Den' | 'isi' | 'book'
wol_Latn	37	20509	'pp' | 'back' | 'oul' | 'oon' | 'agle'
arg_Latn	56	20314	'Anderson' | 'Plaza' | 'vitro' | 'Vill' | 'Echo'
pol_Latn	39	20211	'Ros' | 'Pod' | '\\u' | 'Two' | 'Stan'
tog_Latn	20	20176	'Bay' | 'itis' | 'umb' | 'Bay' | 'Chi'
kmr_Latn	31	20158	'name' | 'her' | 'PK' | 'istin' | 'ser'
und_Hira	22	20122	'ID' | '…\n' | ';;' | '●' | 'Corporation'
cax_Latn	26	20121	'ity' | 'arr' | 'rot' | 'iche' | 'ax'
des_Latn	19	20070	'Go' | 'rop' | 'Er' | 'hr' | 'ague'
bpy_Beng	7	19959	'%,' | ',.' | ':C' | '---' | '_E'
kpg_Latn	29	19712	'Ge' | 'Good' | 'good' | 'Christ' | 'alia'
kaa_Latn	21	19631	'ler' | 'set' | 'ı' | 'kins' | 'Bul'
tzh_Latn	29	19569	'ich' | 'atic' | 'enta' | 'Arch' | 'opt'
kek_Latn	29	19562	'ix' | '.R' | '´' | 'Sant' | 'leb'
srd_Latn	39	19490	'PC' | 'iat' | 'cast' | 'Fiat' | 'su'
srn_Latn	29	19404	'RA' | 'own' | '-of' | 'dis' | 'andra'
oci_Latn	40	19150	'Aqu' | 'Gas' | '-Man' | 'gle' | 'adas'
ita_Latn	69	18884	'il' | 'della' | 'consent' | 'Non' | 'dell'
hrv_Latn	35	18872	'";\n' | 'MRI' | 'obacter' | 'Hg' | 'Staphylococcus'
uzn_Latn	36	18857	'‘' | 'Ross' | 'lov' | 'ishing' | 'lar'
coe_Latn	9	18710	'Re' | 'che' | 'Rep' | 'oche' | 'rep'
azj_Latn	46	18701	'art' | 'kl' | 'Pin' | 'Naz' | 'ular'
alt_Cyrl	6	18609	'.),' | ');\n' | '�' | '…»' | 'О'
koo_Latn	24	18478	'Peter' | 'ith' | 'Adam' | 'LH' | 'Erik'
hmr_Latn	38	18430	'CP' | 'FC' | 'ril' | 'Independent' | 'Roberts'
bum_Latn	22	18358	'ane' | 'Met' | 'MB' | 'É' | 'beta'
amu_Latn	12	18327	'om' | 'Ty' | 'Cat' | 'wind' | 'nom'
mni_Beng	6	18061	'(@' | '@' | '.twitter' | 'PM' | '�'
sun_Latn	18	18043	'un' | 'ike' | 'anten' | 'eres' | 'ieu'
bin_Latn	22	17988	'be' | 'Os' | 'NE' | 'bene' | 'rie'
und_Shaw	13	17919	'�' | '%\n' | 'Cost' | 'HP' | 'ances'
und_Bopo	6	17715	'�' | ')\n' | 'Home' | '::' | 'search'
otq_Latn	16	17616	'Inc' | 'Trans' | 'ody' | 'ycl' | 'rights'
und_Taml	15	17311	'*' | '~~' | 'ATP' | '//' | 'Learning'
rar_Latn	18	17153	'HPV' | 'Cook' | 'Pat' | 'te' | 'GA'
byr_Latn	13	16943	'na' | '!”' | 'ely' | 'rag' | 'Sara'
viv_Latn	22	16796	'Med' | 'IV' | 'Mah' | 'Tu' | 'again'
bjn_Latn	26	16783	'Gar' | 'Kal' | 'Ind' | 'Lamb' | 'Ban'
tuc_Latn	28	16663	'+\n' | 'gar' | 'aze' | 'igh' | 'Yam'
lug_Latn	36	16570	'Bob' | '/-' | 'Kat' | 'Bug' | 'onna'
kin_Latn	26	16398	'Sports' | 'PR' | 'Perez' | 'ushing' | 'aby'
qwh_Latn	20	16354	'PA' | 'Ts' | 'mi' | 'ants' | 'Rut'
bcl_Latn	34	16350	'Forbes' | 'Cam' | 'UFO' | 'Clinic' | 'LG'
mfq_Latn	9	16079	'»' | 'nb' | 'Edition' | 'Alliance' | 'nn'
lij_Latn	40	16055	'into' | 'Commons' | 'gia' | 'Str' | 'cco'
jac_Latn	23	15962	'Com' | 'ical' | 'Hay' | 'zet' | 'Mac'
hak_Hani	12	15883	'\n\n' | '-f' | '-v' | 'Th' | '-ch'
nso_Latn	19	15645	'Mor' | 'mmol' | 'ago' | 'Mod' | 'GO'
quz_Latn	34	15603	'aris' | ';"\n' | 'All' | 'spp' | 'May'
hat_Latn	32	15283	'SP' | 'Gen' | 'enter' | 'remake' | 'ou'
cbc_Latn	18	15206	'Car' | 'mac' | 'car' | 'top' | 'eti'
trv_Latn	37	15153	'Kn' | 'Michelle' | 'bra' | ')[' | 'ancy'
cak_Latn	15	15103	'can' | 'Can' | "')" | 'rix' | 'Pedro'
bam_Latn	35	14940	'UV' | 'Alpha' | 'Swift' | 'RF' | 'SG'
szy_Latn	27	14794	'%BF' | '%BD' | 'atal' | '/%' | ')"'
urh_Latn	19	14690	'r' | 'vo' | 'wo' | 'Riv' | 'GH'
hin_Latn	26	14432	'use' | 'HF' | 'gay' | 'arrow' | 'ap'
ndo_Latn	32	14282	'sey' | 'Jason' | 'Stars' | 'Sho' | 'oka'
kmb_Latn	26	14213	'Jim' | 'Ky' | 'Mu' | 'onda' | 'Dani'
kua_Latn	22	14062	'Oil' | 'wa' | 'Om' | 'Ok' | 'ashi'
smn_Latn	31	13933	'Matt' | 'Bowie' | 'Spencer' | 'Pride' | 'Lynch'
acr_Latn	19	13911	'Cr' | 'ique' | 'Quin' | 'bal' | '-le'
ksd_Latn	17	13884	'up' | ';)' | 'Dave' | 'ra' | 'var'
mri_Latn	16	13777	'Wh' | 'He' | '.K' | 'Wh' | 'wh'
yrk_Cyrl	9	13774	'’,' | '’.' | '’’' | 'на' | 'П'
mgr_Latn	17	13711	'ile' | '.—' | 'ulin' | 'list' | 'iving'
mar_Latn	26	13660	'Me' | 'hot' | 'hal' | 'Chat' | 'Marg'
smj_Latn	40	13589	'br' | 'PSA' | 'NS' | 'pad' | 'Div'
zul_Latn	26	13519	'ph' | 'akh' | 'aph' | 'LED' | 'icrosoft'
vro_Latn	22	13440	',»' | '.n' | 'Set' | 'lt' | 'ands'
kze_Latn	17	13383	'ink' | '-and' | 'á' | 'mp' | 'án'
sgs_Latn	27	13209	'ven' | 'FIBA' | 'ious' | 'onis' | 'Pl'
cfm_Latn	24	13145	'CT' | 'th' | 'hat' | 'Cut' | 'lang'
ffm_Latn	19	12984	'».\n' | '».' | 'ental' | 'IRA' | 'data'
tat_Latn	24	12970	'Ber' | 'erg' | 'Rossi' | 'ä' | 'Powell'
ozm_Latn	4	12913	'�' | 'ó' | 'Pierre' | 'Bé'
sme_Latn	27	12910	'idd' | 'Dean' | 'uv' | 'ikipedia' | 'iev'
fuv_Latn	24	12897	'Far' | 'Food' | 'Doppler' | '($' | 'Alfa'
zai_Latn	24	12803	'st' | 'Test' | 'Xi' | 'aca' | 'pin'
lua_Latn	17	12758	'sh' | 'Bush' | 'ende' | 'udi' | 'rof'
ext_Latn	36	12620	'";' | 'rus' | 'Vegas' | 'Cant' | ',...'
seh_Latn	20	12559	'era' | 'ping' | 'pin' | 'Mul' | 'Naomi'
yom_Latn	19	12518	'Pf' | 'ila' | 'UV' | 'Sat' | 'Coco'
zom_Latn	28	12347	'SP' | '.T' | 'Note' | 'Study' | 'WC'
lad_Latn	37	12139	'Cohen' | 'ikos' | 'Einstein' | 'reat' | 'atro'
kng_Latn	21	12109	'aka' | 'Bet' | 'bo' | 'osi' | 'Mason'
san_Latn	20	12046	'@' | 'vas' | 'ā' | 'RV' | 'Volume'
yor_Latn	22	12008	'rin' | 'oshop' | 'Adobe' | 'Fun' | 'Crypto'
cpa_Latn	10	11971	'Di' | 'Ca' | 'sa' | '¹' | 'ds'
nch_Latn	10	11864	'ati' | 'ij' | 'anti' | 'tac' | 'lake'
apc_Arab	9	11847	'%B' | '-%' | 'Online' | '%A' | 'outube'
eml_Latn	30	11836	'Pr' | 'pr' | '&B' | 'gn' | 'Comp'
hyw_Armn	2	11831	'):\n' | '»:'
cnt_Latn	6	11692	'�' | 'lia' | 'chain' | '�' | 'ió'
bos_Latn	22	11539	'Mil' | 'RS' | 'nev' | 'Cent' | 'Bos'
fij_Latn	24	11495	'na' | 'Tur' | 'avi' | 'ival' | 'ivia'
krl_Latn	31	11244	'hell' | 'alla' | 'otta' | 'Marina' | 'VK'
xla_Latn	20	11234	'some' | 'low' | 'Ep' | 'allow' | 'alle'
umb_Latn	22	11230	'isa' | 'aco' | 'ku' | 'via' | 'enda'
ind_Latn	41	11194	'ter' | 'itas' | 'mem' | 'startup' | 'Saudi'
gym_Latn	20	11013	'bit' | 'ti' | 'One' | 'Nik' | 'riere'
quy_Latn	21	10983	'ank' | 'uy' | 'Kay' | 'Kill' | 'kill'
olo_Latn	30	10777	'must' | 'Ivan' | 'Zoom' | 'Petro' | 'div'
yle_Latn	10	10716	'oo' | 'Pi' | 'my' | 'Gh' | 'pu'
und_Cans	9	10689	'�' | 'TO' | 'Art' | 'ified' | 'Canadian'
knv_Latn	22	10674	'Ba' | 'ete' | 'FL' | 'Hab' | 'Wade'
lao_Laoo	1	10552	'�'
und_Telu	23	10523	'|\n' | '/article' | '_' | '!!' | 'page'
wuu_Hani	9	10413	'IP' | 'Station' | 'Play' | '——' | 'Qatar'
kor_Hang	15	10407	'(http' | 'CPU' | 'SUV' | ')·' | 'VR'
guj_Latn	22	10340	'!!\n' | 'cience' | 'hea' | ':-' | 'Against'
toi_Latn	17	10325	'zy' | 'LM' | 'USA' | 'bul' | '-Le'
isl_Latn	25	10257	'vers' | 'star' | 'lands' | 'fs' | 'sson'
shi_Latn	23	10207	'Sn' | 'ns' | 'acc' | 'Mk' | 'burn'
meu_Latn	17	10205	'aine' | 'edia' | 'oud' | 'vana' | 'aud'
sat_Olck	3	10099	'�' | 'Child' | 'Ratio'
und_Orya	7	9969	'/\n' | 'Page' | 'Culture' | '�' | 'Valid'
her_Latn	20	9945	'omb' | 'View' | 'Oz' | 'Komb' | 'ature'
tee_Latn	25	9897	'unch' | 'Ju' | 'ʼ' | 'oxin' | 'uchi'
nop_Latn	15	9798	'OP' | 'une' | 'Mom' | 'ind' | 'Kil'
gur_Latn	20	9698	'Sea' | 'Economics' | 'Republic' | 'Advanced' | 'Administration'
swc_Latn	17	9587	'AF' | 'Sher' | 'WA' | 'isha' | 'Lak'
gag_Latn	20	9584	'”)' | 'abled' | 'psi' | 'GL' | 'е'
uig_Latn	20	9580	'lik' | 'Emma' | 'ning' | 'ghan' | 'ining'
ahk_Latn	4	9448	'�' | '�' | '-e' | 'Zah'
kyq_Latn	12	9240	'Ra' | 'se' | 'Bub' | 'took' | 'rose'
kmh_Latn	17	9236	'Bin' | 'Pen' | 'mel' | 'Gor' | 'imb'
dob_Latn	18	9162	'Ta' | 'Tab' | 'Luke' | 'ined' | 'DO'
mos_Latn	17	9154	'-to' | 'MX' | 'Ze' | 'Poll' | 'db'
fuf_Latn	16	9064	'ii' | 'Hero' | 'few' | 'wind' | 'won'
snd_Arab	2	8921	'�' | '�'
jvn_Latn	22	8882	'Slam' | 'Krist' | 'gaming' | 'Patriot' | 'Pant'
nab_Latn	14	8673	'²' | 'xe' | 'su' | 'xi' | '³'
rus_Cyrl	28	8176	'Python' | 'в' | 'что' | 'при' | 'для'
hbo_Hebr	7	8126	'•' | '}\n' | 'AH' | '�' | 'Codex'
nbl_Latn	17	8024	'Beg' | 'beg' | 'ISA' | 'IB' | 'rest'
blh_Latn	4	7990	'w' | 'à' | 'Kol' | 'java'
tfr_Latn	10	7886	'Gu' | 'omer' | 'Data' | 'park' | 'twe'
lvs_Latn	25	7841	'anos' | '.g' | 'ums' | 'Hotels' | 'arb'
nia_Latn	20	7683	'Low' | 'Had' | 'Ni' | 'ö' | 'Luther'
skr_Arab	2	7634	'�' | '‘‘'
ewe_Latn	9	7577	'bl' | 'FIA' | 'ple' | 'Abe' | 'eye'
und_Geor	14	7433	'[-' | '→' | '"-' | '�' | 'Smart'
und_Sylo	5	7349	'/s' | 'More' | '————————' | 'Read' | 'Archives'
swh_Latn	14	7335	'iano' | 'Wil' | 'amoto' | 'Mare' | 'Hassan'
tos_Latn	13	7326	'�' | 'nt' | 'Hua' | 'kal' | 'Cam'
und_Laoo	9	7312	'................' | 'Edit' | '.....' | '......' | '........'
loz_Latn	10	7267	'Lin' | 'Lik' | 'Liz' | 'uli' | 'ele'
ada_Latn	5	7232	'Ben' | 'Mats' | 'TS' | 'Ben' | 'EMI'
ach_Latn	18	7032	'bot' | 'cu' | 'edo' | 'CW' | 'Jer'
dyi_Latn	8	6911	'Lee' | 'Saw' | 'boro' | 'logo' | 'lund'
ndc_Latn	23	6712	'MW' | 'Von' | 'Ver' | 'rove' | 'Cir'
maa_Latn	2	6661	'la' | 'ín'
jae_Latn	10	6524	'Ap' | 'lic' | 'AE' | 'ê' | 'mt'
mil_Latn	5	6457	'nd' | '‑' | 'ú' | 'Te' | 'yu'
ksw_Mymr	5	6430	'�' | '�' | 'Medicare' | 'Medicaid' | '(:'
srp_Latn	18	6361	'Bio' | 'Bog' | 'je' | 'gov' | 'sam'
mdy_Ethi	1	6192	"''"
iso_Latn	12	5958	'ware' | 'Who' | 'Eva' | 'Who' | 'RR'
doi_Deva	10	5863	'Dog' | 'nets' | 'CSS' | 'Shop' | 'React'
kir_Cyrl	4	5747	'News' | 'ж' | 'ка' | 'ду'
urd_Latn	15	5724	'rat' | 'main' | 'Haz' | 'ﷺ' | 'feed'
mzn_Arab	7	5652	'(=' | 'UTC' | 'Falls' | '{{' | 'Events'
aoj_Latn	16	5605	'Base' | 'amba' | 'ifi' | 'Ae' | 'base'
mxb_Latn	5	5582	'ios' | 'Lucas' | 'San' | 'Marcos' | 'Nd'
und_Yiii	10	5506	'�' | 'Sy' | 'ables' | '≥' | '�'
anp_Deva	11	5421	'Card' | 'Corp' | 'Click' | 'Solutions' | '।'
crn_Latn	5	5379	'Cap' | 'Ay' | 'jet' | 'pu' | 'uxe'
und_Vaii	6	5373	'able' | '�' | '.un' | 'Unicode' | 'prepared'
gdr_Latn	17	5175	'Ton' | 'Tina' | 'non' | 'ton' | 'got'
tbz_Latn	2	5144	'mm' | 'Sud'
ces_Latn	15	4870	'Pok' | '.http' | 'oci' | 'icky' | 'hyper'
fit_Latn	14	4812	'asta' | 'Torn' | 'illon' | 'Wins' | 'erta'
twi_Latn	8	4669	'Mant' | 'yer' | 'Brid' | 'Kron' | 'bons'
pnt_Grek	7	4598	'./' | '’\n' | 'Hellen' | '≤' | 'Pont'
tvl_Latn	12	4495	'aton' | 'lat' | '/V' | 'fine' | 'toe'
und_Mong	2	4464	'©' | '�'
bxr_Cyrl	3	4438	'\\' | 'о' | 'ой'
bru_Latn	10	4371	'urs' | 'arel' | 'nh' | 'Rav' | 'cru'
krc_Cyrl	8	4281	'))' | 'BIOS' | '(\n' | ')))' | ')))\n'
cco_Latn	6	4060	'Jo' | 'sea' | 'nea' | 'jal' | 'jo'
khm_Khmr	1	3895	'�'
sdh_Arab	1	3868	'�'
tha_Thai	8	3852	'SL' | 'PG' | 'Gaming' | 'MGM' | 'Joker'
shn_Mymr	7	3846	'�' | 'RC' | 'Herald' | 'sandbox' | '/doc'
chz_Latn	2	3640	'�' | 'Dio'
jpn_Jpan	13	3627	'MRI' | '、' | 'の' | 'LDL' | '。\n'
und_Lana	2	3558	'�' | ']:'
ote_Latn	8	3556	'fax' | 'Hang' | 'Horizon' | 'Nu' | 'Aj'
dyu_Latn	5	3494	'Mas' | 'Mas' | 'tun' | 'Zur' | 'Bari'
mkd_Cyrl	5	3436	'“,' | 'на' | 'за' | 'со' | 'во'
arz_Arab	3	3400	'(+' | '(-' | 'Application'
und_Kana	7	3384	'�' | 'FE' | 'force' | "('" | 'Vault'
acm_Arab	9	3373	'Rain' | '/v' | '))\n' | ';;' | 'answers'
und_Newa	1	3304	'�'
men_Latn	8	3165	'inda' | 'ii' | 'afe' | 'dem' | 'isia'
tcf_Latn	7	3139	'rax' | 'GA' | '”).' | 'Ik' | 'ún'
bss_Latn	7	3080	'Kr' | 'Tit' | 'éd' | '.The' | 'boot'
lee_Latn	6	3066	'Zh' | 'Py' | '-by' | 'Yi' | 'rh'
azb_Arab	2	3061	'.(' | '/de'
rmy_Cyrl	7	3048	'п' | 'л' | 'Teaching' | 'Appro' | 'ски'
chv_Cyrl	3	3006	'//' | 'р' | 'ç'
bul_Cyrl	10	2997	'":\n' | 'от' | 'по' | 'е' | 'из'
urk_Thai	1	2942	'Society'
glk_Arab	6	2705	'Article' | 'Cool' | 'Nokia' | 'Author' | 'CK'
gbo_Latn	8	2575	'sl' | 'yes' | 'Kl' | 'ě' | 'kl'
yue_Hani	13	2529	'BB' | 'office' | 'Jason' | 'Gazette' | 'Keep'
aak_Latn	7	2520	'ón' | 'Soy' | 'wear' | 'near' | 'year'
kam_Latn	10	2502	'Mb' | 'ombie' | 'Vet' | 'sto' | 'tw'
tuo_Latn	7	2450	'Too' | 'rosa' | 'week' | 'Too' | 'Jude'
mrj_Cyrl	5	2445	'�' | 'но' | 'ный' | 'BIG' | 'ш'
nog_Cyrl	2	2390	'э' | 'о'
lez_Cyrl	6	2386	'----------------------------- | '%)\n' | 'к' | '------------------------' | 'з'
koi_Cyrl	4	2354	'ISBN' | 'О' | 'Magn' | 'Dracula'
kmr_Cyrl	7	2270	'д' | ',-' | 'Related' | 'ь' | 'Cookies'
und_Lina	4	2262	'�' | 'Sign' | '�' | 'Notes'
tat_Cyrl	2	2215	'Telegram' | 'Excel'
srp_Cyrl	9	2118	'Beyond' | 'у' | 'ом' | 'сти' | 'ви'
und_Goth	2	2024	'�' | '.</'
und_Hluw	3	2016	'�' | 'names' | 'Hier'
uzs_Arab	2	1972	':"' | 'spot'
aeb_Arab	5	1841	'....' | '._' | '_x' | 'ح' | '"]\n'
dar_Cyrl	9	1838	'ли' | 'ла' | 'ти' | 'ра' | 'чи'
oss_Cyrl	6	1829	'"-' | 'æ' | 'backs' | 'ст' | 'У'
sus_Arab	5	1819	'ِ' | 'َ' | '�' | 'ُ' | 'ْ'
lzh_Hani	6	1774	'，' | '。' | ')]\n' | '�' | '石'
fon_Latn	3	1678	'Six' | 'six' | 'Ret'
kbp_Latn	5	1668	'size' | 'Friedman' | 'onacci' | '-ta' | 'Curie'
ukr_Cyrl	9	1652	'.;\n' | 'ного' | 'до' | 'Д' | 'об'
awa_Deva	2	1608	'Easy' | 'obacterium'
cmn_Hani	8	1561	'DNA' | '的' | 'GFR' | 'DNS' | 'Query'
uig_Cyrl	5	1552	'ки' | 'т' | 'ми' | 'ни' | 'ши'
amh_Ethi	1	1426	'�'
tgk_Cyrl	4	1304	'Upon' | 'и' | 'та' | 'ро'
sig_Latn	4	1288	'wald' | 'Wel' | 'bul' | '�'
ell_Grek	3	1288	'\\":\\"' | '\\",\\"' | '{\\"'
tuk_Cyrl	6	1284	'я' | 'Personal' | 'ц' | 'ля' | 'ся'
hye_Armn	3	1228	'Opel' | '.am' | '․'
myv_Cyrl	4	1160	'ть' | '()\n' | 'не' | '_USER'
hne_Deva	4	1111	'google' | 'views' | 'voice' | 'Continue'
und_Mymr	5	1089	'break' | 'Cochrane' | 'Setup' | '-->' | 'Keyboard'
kat_Geor	1	1035	'%-'
cle_Latn	3	1011	'Jo' | 'chia' | 'dx'
ady_Cyrl	3	1007	'з' | 'ы' | 'ным'
brh_Arab	6	983	'ISP' | 'Channel' | 'Treasure' | 'Pakistan' | 'lides'
hin_Deva	2	960	'WWE' | 'Updated'
lbe_Cyrl	6	935	'ку' | 'drop' | 'ру' | '.tr' | 'ну'
ava_Cyrl	6	934	'б' | 'л' | 'г' | 'Г' | 'су'
nqo_Nkoo	1	900	'�'
tab_Cyrl	5	870	'П' | 'ков' | 'глава' | 'ди' | 'му'
bel_Cyrl	3	836	'ка' | 'вы' | 'і'
cok_Latn	5	833	'enty' | 'een' | 'ty' | 'tax' | 'urity'
mhr_Cyrl	6	816	'ен' | 'ты' | 'ме' | 'ке' | 'лен'
ron_Cyrl	4	774	'те' | 'ре' | 'ле' | 'ор'
xmf_Geor	3	771	'Papers' | 'ESCO' | 'ographical'
hac_Arab	1	742	'��'
cso_Latn	3	717	'ts' | 'Hi' | 'jm'
xal_Cyrl	3	715	'д' | 'н' | 'ч'
dty_Deva	1	704	'–\n'
udm_Cyrl	5	689	'но' | 'ibrary' | 'ко' | 'од' | 'бы'
blk_Mymr	2	579	'"(' | ')"\n'
und_Armn	3	565	'}}' | '{{' | '`\n'
bho_Deva	2	553	'Business' | 'Idea'
uzn_Cyrl	3	549	'ри' | 'да' | '(≥'
kan_Knda	2	526	'Team' | 'obiles'
inh_Cyrl	4	506	'ский' | 'ча' | 'ца' | 'ха'
mar_Deva	2	497	'First' | 'Published'
kas_Arab	3	489	'(ii' | 'False' | 'Missing'
brx_Deva	3	447	'Posts' | 'Volunte' | 'CHD'
kaz_Cyrl	2	433	'CYP' | 'Б'
xsm_Latn	2	426	'Zw' | 'Ze'
tyv_Cyrl	3	423	':(' | 'ч' | 'га'
ydd_Hebr	1	407	'USD'
urd_Arab	1	393	'��'
dzo_Tibt	1	338	'.txt'
kum_Cyrl	2	321	'+)' | 'ан'
azj_Cyrl	1	300	'*.'
kbd_Cyrl	1	296	'у'
pan_Guru	1	274	'ORY'
und_Syrc	1	267	'BF'
mal_Mlym	1	207	'lights'
syc_Syrc	1	204	'�'
taj_Deva	1	199	'Material'
rue_Cyrl	1	184	'ло'
khk_Cyrl	1	167	'ж'
uig_Arab	1	157	'م'
gom_Deva	1	157	'_the'
san_Deva	1	146	'[('
fas_Arab	1	118	'و'
kjh_Cyrl	1	110	'пи'
bjn_Arab	1	108	'&\n'
